Date,Day,Order,Tank_num,Tag_color,height_mm,flow_cy_ID,TagSeq_ID,ATACseq_ID,Notes
20250626,14,1,1,orange,67.95,1,9,9,
20250626,14,2,2,red,64.4,2,10,10,
20250626,14,3,1,blue,64.69,3,12,12,
20250626,14,4,2,blue,58.48,4,11,11,
20250626,14,5,3,blue,58.1,5,13,13,
20250626,14,6,4,orange,58.91,6,14,14,
20250626,14,7,3,red,61.29,7,15,15,
20250626,14,8,4,blue,46.23,8,16,16,
20250626,14,9,5,brown,54.84,9,17,17,
20250626,14,10,5,blue,66.13,10,18,18,
20250626,14,11,6,red,45.71,11,19,19,hemolymph has visible particles after filtered
20250626,14,12,6,blue,60.18,12,20,20,
20250626,14,13,7,red,51.69,13,22,22,
20250626,14,14,7,blue,59.17,14,21,21,
20250626,14,15,8,brown,56.1,15,24,24,
20250626,14,16,8,blue,64.66,16,23,23,
20250626,14,17,9,blue,59.59,17,26,26,
20250626,14,18,9,red,59.14,18,25,25,
20250626,14,19,10,brown,60.97,19,28,28,
20250626,14,20,10,blue,61.94,20,27,27,
20250626,14,21,11,orange,42.26,21,29,29,
20250626,14,22,11,blue,51.32,22,30,30,
20250626,14,23,12,red,50.42,23,31,31,
20250626,14,24,12,blue,51.3,24,32,32,
20250626,14,25,13,orange,41.31,25,34,34,
20250626,14,26,13,blue,62.27,26,33,33,
20250626,14,27,14,orange,42.22,27,36,36,
20250626,14,28,14,blue,49.72,28,35,35,
20250626,14,29,15,brown,61.18,29,37,37,
20250626,14,30,15,blue,59.81,30,38,38,
20250626,14,31,16,brown,52.39,31,40,40,
20250626,14,32,16,blue,58.32,32,39,39,
20250626,14,33,1,orange,57.15,33,NA,NA,
20250626,14,34,7,blue,55.6,34,NA,NA,
20250626,14,35,13,blue,63.54,35,NA,NA,
20250626,14,36,5,orange,47.42,36,NA,NA,
20250626,14,37,4,red,63.42,37,NA,NA,
20250626,14,38,15,blue,61.47,38,NA,NA,
20250626,14,39,3,orange,40.7,39,NA,NA,
20250626,14,40,8,blue,45.3,40,NA,NA,
